Array Probe	Category Component
	ENSDARG00000019596
A_15_P228976	ENSDARG00000093585
A_15_P147526	ENSDARG00000093734
	ENSDARG00000091877
	ENSDARG00000043497
A_15_P107702	ENSDARG00000024844
A_15_P184491	ENSDARG00000024844
A_15_P184496	ENSDARG00000024844
	ENSDARG00000024844
A_15_P112690	ENSDARG00000045542
	ENSDARG00000076541
	ENSDARG00000014463
A_15_P105562	ENSDARG00000014463
A_15_P185820	ENSDARG00000060889
	ENSDARG00000101184
A_15_P137766	ENSDARG00000095643
A_15_P119333	ENSDARG00000023396
A_15_P210261	ENSDARG00000023396
A_15_P365465	ENSDARG00000023396
A_15_P119893	ENSDARG00000041083
	ENSDARG00000062446
A_15_P136001	ENSDARG00000089142
	ENSDARG00000038489
A_15_P111953	ENSDARG00000038489
A_15_P196116	ENSDARG00000038489
A_15_P136251	ENSDARG00000092584
A_15_P141206	ENSDARG00000006816
A_15_P198676	ENSDARG00000035862
A_15_P590662	ENSDARG00000068436
	ENSDARG00000068436
	ENSDARG00000097121
	ENSDARG00000093188
	ENSDARG00000071378
A_15_P208546	ENSDARG00000071378
	ENSDARG00000100578
	ENSDARG00000111070
	ENSDARG00000101812
	ENSDARG00000100612
	ENSDARG00000100486
	ENSDARG00000105551
A_15_P120858	ENSDARG00000055589
A_15_P205671	ENSDARG00000062359
	ENSDARG00000070046
	ENSDARG00000078132
A_15_P110447	ENSDARG00000032340
	ENSDARG00000032340
	ENSDARG00000079373
	ENSDARG00000056744
A_15_P102750	ENSDARG00000021287
A_15_P179086	ENSDARG00000008660
	ENSDARG00000008660
A_15_P109517	ENSDARG00000041085
A_15_P172776	ENSDARG00000041085
A_15_P209981	ENSDARG00000040338
	ENSDARG00000040338
	ENSDARG00000062855
A_15_P117480	ENSDARG00000062855
A_15_P155796	ENSDARG00000060176
A_15_P240971	ENSDARG00000093393
A_15_P189061	ENSDARG00000039458
A_15_P145961	ENSDARG00000061968
A_15_P501152	ENSDARG00000061968
A_15_P116201	ENSDARG00000062083
	ENSDARG00000062083
A_15_P139586	ENSDARG00000021975
	ENSDARG00000021975
A_15_P147921	ENSDARG00000042977
	ENSDARG00000113501
A_15_P490122	ENSDARG00000091967
	ENSDARG00000091967
A_15_P399335	ENSDARG00000102473
	ENSDARG00000102473
	ENSDARG00000102529
A_15_P116265	ENSDARG00000015206
A_15_P142061	ENSDARG00000098240
	ENSDARG00000098240
A_15_P106653	ENSDARG00000005454
A_15_P115554	ENSDARG00000005454
	ENSDARG00000095076
	ENSDARG00000057262
	ENSDARG00000076330
	ENSDARG00000089271
	ENSDARG00000095219
	ENSDARG00000006924
A_15_P135851	ENSDARG00000100225
A_15_P154946	ENSDARG00000100225
	ENSDARG00000100225
	ENSDARG00000105601
	ENSDARG00000060316
	ENSDARG00000079158
	ENSDARG00000113704
	ENSDARG00000022895
A_15_P180666	ENSDARG00000105768
	ENSDARG00000025350
A_15_P112376	ENSDARG00000056089
A_15_P325386	ENSDARG00000056089
	ENSDARG00000061508
A_15_P278501	ENSDARG00000061508
	ENSDARG00000079537
	ENSDARG00000040466
A_15_P109108	ENSDARG00000040466
A_15_P120079	ENSDARG00000010149
A_15_P140281	ENSDARG00000010149
	ENSDARG00000010149
A_15_P183626	ENSDARG00000056037
A_15_P115624	ENSDARG00000091961
A_15_P196991	ENSDARG00000017853
	ENSDARG00000010052
A_15_P118198	ENSDARG00000010052
A_15_P121322	ENSDARG00000010052
A_15_P261731	ENSDARG00000039887
	ENSDARG00000039887
	ENSDARG00000078767
A_15_P152081	ENSDARG00000070403
A_15_P112562	ENSDARG00000035679
A_15_P182676	ENSDARG00000035679
A_15_P585422	ENSDARG00000091933
	ENSDARG00000040606
A_15_P135236	ENSDARG00000040606
A_15_P140196	ENSDARG00000040606
	ENSDARG00000099764
	ENSDARG00000008866
A_15_P107499	ENSDARG00000006939
A_15_P168831	ENSDARG00000006939
A_15_P371710	ENSDARG00000079443
A_15_P109853	ENSDARG00000014068
	ENSDARG00000099468
	ENSDARG00000003270
	ENSDARG00000036743
A_15_P161986	ENSDARG00000014480
	ENSDARG00000099471
	ENSDARG00000091909
A_15_P114328	ENSDARG00000002230
A_15_P108685	ENSDARG00000002230
A_15_P118862	ENSDARG00000007444
A_15_P143416	ENSDARG00000007444
	ENSDARG00000007444
	ENSDARG00000070222
A_15_P142744	ENSDARG00000036748
	ENSDARG00000036305
A_15_P195121	ENSDARG00000052271
A_15_P215921	ENSDARG00000052271
	ENSDARG00000052271
	ENSDARG00000092480
A_15_P119580	ENSDARG00000097556
A_15_P107946	ENSDARG00000017985
	ENSDARG00000017985
	ENSDARG00000058090
	ENSDARG00000107226
	ENSDARG00000036987
A_15_P103846	ENSDARG00000057093
	ENSDARG00000057093
A_15_P114836	ENSDARG00000015278
	ENSDARG00000015278
	ENSDARG00000051718
	ENSDARG00000111396
	ENSDARG00000055290
A_15_P257481	ENSDARG00000055290
A_15_P177421	ENSDARG00000099284
A_15_P117955	ENSDARG00000012399
A_15_P133702	ENSDARG00000012399
	ENSDARG00000012399
	ENSDARG00000104449
A_15_P119156	ENSDARG00000098293
A_15_P109321	ENSDARG00000022129
A_15_P117419	ENSDARG00000022129
	ENSDARG00000022129
A_15_P173401	ENSDARG00000052379
A_15_P189411	ENSDARG00000052379
	ENSDARG00000073731
A_15_P277771	ENSDARG00000073731
A_15_P311006	ENSDARG00000073731
	ENSDARG00000096520
	ENSDARG00000105688
A_15_P184276	ENSDARG00000009123
A_15_P101428	ENSDARG00000017234
	ENSDARG00000097801
	ENSDARG00000002847
A_15_P141136	ENSDARG00000078147
A_15_P102477	ENSDARG00000023031
A_15_P130821	ENSDARG00000023031
	ENSDARG00000096274
A_15_P147316	ENSDARG00000059689
	ENSDARG00000075834
A_15_P110630	ENSDARG00000012788
	ENSDARG00000031222
A_15_P163996	ENSDARG00000031222
A_15_P190126	ENSDARG00000031222
A_15_P118928	ENSDARG00000043394
	ENSDARG00000093483
A_15_P179561	ENSDARG00000079618
	ENSDARG00000079618
A_15_P120120	ENSDARG00000067717
	ENSDARG00000067717
A_15_P172646	ENSDARG00000003701
A_15_P102323	ENSDARG00000015111
A_15_P152066	ENSDARG00000015111
A_15_P105763	ENSDARG00000097040
	ENSDARG00000097335
A_15_P196896	ENSDARG00000035005
	ENSDARG00000093461
	ENSDARG00000101444
A_15_P137821	ENSDARG00000063195
A_15_P140426	ENSDARG00000063195
A_15_P600157	ENSDARG00000063195
A_15_P107114	ENSDARG00000018432
A_15_P109553	ENSDARG00000018432
A_15_P305571	ENSDARG00000018432
A_15_P168541	ENSDARG00000061462
A_15_P114452	ENSDARG00000058323
A_15_P142966	ENSDARG00000094074
A_15_P182326	ENSDARG00000094074
	ENSDARG00000095098
	ENSDARG00000101727
	ENSDARG00000097724
A_15_P163781	ENSDARG00000097583
	ENSDARG00000098489
A_15_P100785	ENSDARG00000010415
	ENSDARG00000010415
	ENSDARG00000039482
	ENSDARG00000105594
A_15_P199843	ENSDARG00000078743
	ENSDARG00000051735
	ENSDARG00000093804
	ENSDARG00000070094
	ENSDARG00000023190
A_15_P119053	ENSDARG00000023190
A_15_P132546	ENSDARG00000023190
A_15_P164906	ENSDARG00000023190
	ENSDARG00000109458
	ENSDARG00000041113
A_15_P114899	ENSDARG00000041113
	ENSDARG00000105327
	ENSDARG00000092585
	ENSDARG00000097368
	ENSDARG00000010018
A_15_P107307	ENSDARG00000010018
	ENSDARG00000014474
A_15_P101080	ENSDARG00000014474
A_15_P206791	ENSDARG00000014395
A_15_P188871	ENSDARG00000017742
A_15_P194806	ENSDARG00000015576
A_15_P161456	ENSDARG00000070702
	ENSDARG00000100968
A_15_P109965	ENSDARG00000017444
A_15_P149816	ENSDARG00000073765
	ENSDARG00000077468
	ENSDARG00000100503
	ENSDARG00000004173
A_15_P107912	ENSDARG00000004173
A_15_P198766	ENSDARG00000014280
A_15_P142381	ENSDARG00000006372
	ENSDARG00000097039
A_15_P516882	ENSDARG00000077114
	ENSDARG00000077114
	ENSDARG00000088640
	ENSDARG00000087623
	ENSDARG00000097091
A_15_P132126	ENSDARG00000014986
	ENSDARG00000014986
A_15_P183971	ENSDARG00000026248
	ENSDARG00000026248
A_15_P156016	ENSDARG00000041292
A_15_P100891	ENSDARG00000032535
A_15_P514602	ENSDARG00000032535
A_15_P207196	ENSDARG00000009982
A_15_P183187	ENSDARG00000074360
A_15_P364310	ENSDARG00000074360
	ENSDARG00000022372
A_15_P185906	ENSDARG00000054026
	ENSDARG00000101891
A_15_P238806	ENSDARG00000101891
A_15_P245411	ENSDARG00000101891
A_15_P392800	ENSDARG00000057992
A_15_P140076	ENSDARG00000057992
	ENSDARG00000033462
	ENSDARG00000111097
	ENSDARG00000094970
	ENSDARG00000053138
	ENSDARG00000016089
A_15_P571802	ENSDARG00000090981
A_15_P103826	ENSDARG00000036995
A_15_P310216	ENSDARG00000021351
	ENSDARG00000059811
	ENSDARG00000104823
	ENSDARG00000062968
A_15_P106183	ENSDARG00000062968
A_15_P159071	ENSDARG00000062968
A_15_P171036	ENSDARG00000062968
	ENSDARG00000071040
A_15_P203376	ENSDARG00000103124
	ENSDARG00000103124
A_15_P114851	ENSDARG00000068286
A_15_P104298	ENSDARG00000045016
A_15_P168841	ENSDARG00000045016
	ENSDARG00000012453
A_15_P110564	ENSDARG00000012453
A_15_P183526	ENSDARG00000017986
A_15_P594622	ENSDARG00000017986
	ENSDARG00000017986
	ENSDARG00000039747
	ENSDARG00000098683
A_15_P112469	ENSDARG00000002304
	ENSDARG00000075463
	ENSDARG00000055294
A_15_P151791	ENSDARG00000053716
A_15_P363695	ENSDARG00000053716
A_15_P140941	ENSDARG00000010207
	ENSDARG00000070539
	ENSDARG00000070073
A_15_P104090	ENSDARG00000028899
A_15_P210661	ENSDARG00000028899
	ENSDARG00000094368
A_15_P119010	ENSDARG00000041041
	ENSDARG00000035329
A_15_P118531	ENSDARG00000035329
A_15_P272096	ENSDARG00000035329
	ENSDARG00000105193
A_15_P180126	ENSDARG00000070214
	ENSDARG00000070214
A_15_P103657	ENSDARG00000059244
A_15_P209786	ENSDARG00000059244
	ENSDARG00000059244
A_15_P507497	ENSDARG00000059244
	ENSDARG00000086236
A_15_P145881	ENSDARG00000035560
	ENSDARG00000035560
	ENSDARG00000092956
	ENSDARG00000034568
A_15_P100501	ENSDARG00000039022
	ENSDARG00000039022
	ENSDARG00000075230
	ENSDARG00000089983
A_15_P105981	ENSDARG00000008502
	ENSDARG00000008502
A_15_P206011	ENSDARG00000024195
	ENSDARG00000024195
A_15_P151021	ENSDARG00000017744
A_15_P179361	ENSDARG00000017744
	ENSDARG00000017744
A_15_P151801	ENSDARG00000055843
	ENSDARG00000103588
	ENSDARG00000003068
A_15_P160546	ENSDARG00000057112
	ENSDARG00000003827
A_15_P106287	ENSDARG00000003827
A_15_P197806	ENSDARG00000003827
A_15_P495137	ENSDARG00000003827
A_15_P469450	ENSDARG00000003827
	ENSDARG00000094078
A_15_P108498	ENSDARG00000012866
A_15_P157921	ENSDARG00000012866
	ENSDARG00000012866
	ENSDARG00000095167
A_15_P178046	ENSDARG00000062821
A_15_P116529	ENSDARG00000091001
	ENSDARG00000067808
A_15_P183914	ENSDARG00000067808
A_15_P181366	ENSDARG00000068918
	ENSDARG00000105625
	ENSDARG00000101612
A_15_P136106	ENSDARG00000007950
	ENSDARG00000007950
	ENSDARG00000092160
	ENSDARG00000095440
A_15_P101988	ENSDARG00000000887
A_15_P115801	ENSDARG00000000887
	ENSDARG00000097774
	ENSDARG00000096641
A_15_P175246	ENSDARG00000037176
A_15_P545727	ENSDARG00000037176
	ENSDARG00000099044
	ENSDARG00000031809
	ENSDARG00000038646
A_15_P498877	ENSDARG00000038646
	ENSDARG00000086302
A_15_P436080	ENSDARG00000086302
A_15_P492047	ENSDARG00000086302
	ENSDARG00000101378
A_15_P145311	ENSDARG00000101378
A_15_P119949	ENSDARG00000018060
	ENSDARG00000104309
	ENSDARG00000041400
	ENSDARG00000102480
A_15_P173551	ENSDARG00000057698
	ENSDARG00000057698
	ENSDARG00000086859
A_15_P102574	ENSDARG00000005993
A_15_P363015	ENSDARG00000005993
	ENSDARG00000005993
	ENSDARG00000006010
A_15_P121179	ENSDARG00000006010
A_15_P235581	ENSDARG00000006010
	ENSDARG00000053906
	ENSDARG00000086408
	ENSDARG00000095787
A_15_P228391	ENSDARG00000052900
	ENSDARG00000103538
A_15_P145601	ENSDARG00000027586
	ENSDARG00000097365
A_15_P210786	ENSDARG00000021483
A_15_P496262	ENSDARG00000021483
A_15_P110469	ENSDARG00000021483
A_15_P151566	ENSDARG00000053959
	ENSDARG00000092779
	ENSDARG00000058351
A_15_P203791	ENSDARG00000058351
A_15_P117464	ENSDARG00000001558
	ENSDARG00000001558
A_15_P119082	ENSDARG00000035692
	ENSDARG00000035692
A_15_P169836	ENSDARG00000070951
	ENSDARG00000070951
A_15_P111240	ENSDARG00000061602
A_15_P261241	ENSDARG00000061602
A_15_P146226	ENSDARG00000093253
	ENSDARG00000093253
	ENSDARG00000105489
A_15_P106789	ENSDARG00000075621
A_15_P114798	ENSDARG00000075621
A_15_P102017	ENSDARG00000054063
	ENSDARG00000054063
	ENSDARG00000010948
A_15_P189511	ENSDARG00000056252
	ENSDARG00000061746
A_15_P145731	ENSDARG00000061746
A_15_P141327	ENSDARG00000102701
	ENSDARG00000030173
A_15_P109504	ENSDARG00000042824
A_15_P193726	ENSDARG00000042824
A_15_P105429	ENSDARG00000058232
	ENSDARG00000036116
A_15_P207096	ENSDARG00000036116
	ENSDARG00000097884
	ENSDARG00000104928
	ENSDARG00000095072
	ENSDARG00000094508
	ENSDARG00000089879
A_15_P186256	ENSDARG00000101769
A_15_P555477	ENSDARG00000030440
A_15_P118499	ENSDARG00000030440
A_15_P119207	ENSDARG00000030440
A_15_P167831	ENSDARG00000041073
	ENSDARG00000103776
	ENSDARG00000079155
	ENSDARG00000008182
A_15_P148736	ENSDARG00000005368
A_15_P165546	ENSDARG00000005368
A_15_P164196	ENSDARG00000012588
A_15_P196656	ENSDARG00000012588
	ENSDARG00000062880
A_15_P183286	ENSDARG00000062880
	ENSDARG00000041382
	ENSDARG00000029168
A_15_P136586	ENSDARG00000029168
A_15_P572617	ENSDARG00000029168
	ENSDARG00000098515
	ENSDARG00000074508
	ENSDARG00000089758
A_15_P119425	ENSDARG00000009958
A_15_P364875	ENSDARG00000009958
A_15_P112054	ENSDARG00000079067
A_15_P100713	ENSDARG00000102271
	ENSDARG00000075917
A_15_P190586	ENSDARG00000079781
	ENSDARG00000079781
A_15_P366305	ENSDARG00000024895
	ENSDARG00000024895
A_15_P109279	ENSDARG00000071215
	ENSDARG00000021055
A_15_P378980	ENSDARG00000052618
	ENSDARG00000034189
A_15_P210486	ENSDARG00000034189
A_15_P225161	ENSDARG00000034189
A_15_P507627	ENSDARG00000034189
	ENSDARG00000035735
A_15_P270936	ENSDARG00000094303
	ENSDARG00000097318
	ENSDARG00000074807
A_15_P101193	ENSDARG00000040884
	ENSDARG00000095401
	ENSDARG00000097764
	ENSDARG00000006094
A_15_P161206	ENSDARG00000006094
	ENSDARG00000095427
	ENSDARG00000095663
A_15_P107615	ENSDARG00000019103
A_15_P163461	ENSDARG00000104227
	ENSDARG00000011602
A_15_P184086	ENSDARG00000011602
	ENSDARG00000093360
A_15_P188261	ENSDARG00000029898
A_15_P331221	ENSDARG00000029898
A_15_P139761	ENSDARG00000102753
	ENSDARG00000097661
A_15_P192826	ENSDARG00000058451
A_15_P188861	ENSDARG00000012449
	ENSDARG00000055177
A_15_P137640	ENSDARG00000095907
A_15_P137641	ENSDARG00000095907
	ENSDARG00000076703
	ENSDARG00000014031
	ENSDARG00000071426
A_15_P208981	ENSDARG00000071426
A_15_P225291	ENSDARG00000071426
A_15_P209041	ENSDARG00000096110
	ENSDARG00000079524
A_15_P118924	ENSDARG00000014569
A_15_P102311	ENSDARG00000014569
	ENSDARG00000014569
A_15_P208201	ENSDARG00000102671
	ENSDARG00000102671
	ENSDARG00000071691
A_15_P103237	ENSDARG00000071691
A_15_P110506	ENSDARG00000043483
A_15_P152281	ENSDARG00000043483
A_15_P162006	ENSDARG00000006859
	ENSDARG00000006859
A_15_P114627	ENSDARG00000009886
A_15_P153451	ENSDARG00000008946
A_15_P115999	ENSDARG00000030058
A_15_P131861	ENSDARG00000030058
	ENSDARG00000099916
	ENSDARG00000102997
A_15_P238581	ENSDARG00000094882
	ENSDARG00000095720
A_15_P150846	ENSDARG00000063190
A_15_P107356	ENSDARG00000044301
	ENSDARG00000055431
A_15_P116758	ENSDARG00000020136
A_15_P171021	ENSDARG00000020136
	ENSDARG00000104220
A_15_P161631	ENSDARG00000027938
A_15_P490007	ENSDARG00000078650
	ENSDARG00000037427
A_15_P205546	ENSDARG00000037427
	ENSDARG00000098406
A_15_P198596	ENSDARG00000101361
A_15_P602777	ENSDARG00000101361
	ENSDARG00000103346
	ENSDARG00000100373
	ENSDARG00000094796
A_15_P146901	ENSDARG00000103515
	ENSDARG00000052158
A_15_P102602	ENSDARG00000070538
A_15_P134791	ENSDARG00000070538
	ENSDARG00000110969
	ENSDARG00000038754
	ENSDARG00000094332
A_15_P111039	ENSDARG00000058467
A_15_P141631	ENSDARG00000101143
	ENSDARG00000101779
A_15_P170691	ENSDARG00000104702
	ENSDARG00000104702
	ENSDARG00000099717
A_15_P144121	ENSDARG00000061611
A_15_P192586	ENSDARG00000061580
A_15_P558422	ENSDARG00000096739
A_15_P107504	ENSDARG00000052674
	ENSDARG00000052674
	ENSDARG00000075046
	ENSDARG00000087765
A_15_P202536	ENSDARG00000063068
	ENSDARG00000063068
A_15_P173571	ENSDARG00000077341
A_15_P423840	ENSDARG00000077341
A_15_P103963	ENSDARG00000041720
A_15_P101800	ENSDARG00000063661
A_15_P373490	ENSDARG00000063661
A_15_P194296	ENSDARG00000104222
A_15_P397720	ENSDARG00000060522
A_15_P597917	ENSDARG00000103322
	ENSDARG00000098281
A_15_P192406	ENSDARG00000055412
A_15_P192411	ENSDARG00000055412
	ENSDARG00000055412
A_15_P102738	ENSDARG00000041173
A_15_P196823	ENSDARG00000044954
A_15_P194876	ENSDARG00000070132
	ENSDARG00000024443
A_15_P190891	ENSDARG00000024443
A_15_P134976	ENSDARG00000040110
	ENSDARG00000100535
	ENSDARG00000089974
	ENSDARG00000101249
A_15_P119740	ENSDARG00000016200
	ENSDARG00000002264
A_15_P206126	ENSDARG00000002264
A_15_P237471	ENSDARG00000058416
	ENSDARG00000003084
	ENSDARG00000074191
	ENSDARG00000040747
	ENSDARG00000105342
	ENSDARG00000097867
A_15_P285086	ENSDARG00000003146
	ENSDARG00000003146
A_15_P172761	ENSDARG00000003968
A_15_P140316	ENSDARG00000013667
A_15_P105771	ENSDARG00000013667
A_15_P105900	ENSDARG00000013667
A_15_P188326	ENSDARG00000013667
A_15_P145856	ENSDARG00000105057
	ENSDARG00000076829
A_15_P187836	ENSDARG00000059747
	ENSDARG00000088238
	ENSDARG00000019541
A_15_P198231	ENSDARG00000019541
	ENSDARG00000112647
	ENSDARG00000094024
	ENSDARG00000075599
A_15_P509412	ENSDARG00000075269
A_15_P201886	ENSDARG00000061265
	ENSDARG00000093087
	ENSDARG00000103203
	ENSDARG00000092887
	ENSDARG00000103906
	ENSDARG00000087584
	ENSDARG00000095263
A_15_P148821	ENSDARG00000068659
	ENSDARG00000075017
A_15_P138541	ENSDARG00000016730
A_15_P235196	ENSDARG00000016730
	ENSDARG00000016730
	ENSDARG00000057630
A_15_P152821	ENSDARG00000056178
A_15_P158291	ENSDARG00000100410
	ENSDARG00000110320
	ENSDARG00000099158
	ENSDARG00000037060
A_15_P216846	ENSDARG00000037060
	ENSDARG00000096969
	ENSDARG00000096834
	ENSDARG00000008727
	ENSDARG00000092898
A_15_P148116	ENSDARG00000041575
	ENSDARG00000041575
	ENSDARG00000075569
	ENSDARG00000103274
A_15_P116273	ENSDARG00000007708
A_15_P101972	ENSDARG00000016664
A_15_P190618	ENSDARG00000016664
	ENSDARG00000016664
	ENSDARG00000095400
A_15_P111771	ENSDARG00000097559
	ENSDARG00000101431
	ENSDARG00000079930
	ENSDARG00000089110
A_15_P145141	ENSDARG00000020252
	ENSDARG00000020252
A_15_P119460	ENSDARG00000013051
	ENSDARG00000103648
A_15_P204286	ENSDARG00000088693
A_15_P467855	ENSDARG00000095682
	ENSDARG00000063627
A_15_P184281	ENSDARG00000096787
A_15_P109256	ENSDARG00000044622
A_15_P180546	ENSDARG00000044622
	ENSDARG00000044622
A_15_P168481	ENSDARG00000068407
	ENSDARG00000068407
A_15_P489992	ENSDARG00000079324
A_15_P568737	ENSDARG00000095539
A_15_P149306	ENSDARG00000061890
	ENSDARG00000061890
A_15_P103729	ENSDARG00000018383
A_15_P118121	ENSDARG00000018383
A_15_P262176	ENSDARG00000087238
A_15_P112910	ENSDARG00000044569
A_15_P117854	ENSDARG00000078004
	ENSDARG00000095642
A_15_P120264	ENSDARG00000015343
A_15_P111368	ENSDARG00000086985
	ENSDARG00000086985
A_15_P366850	ENSDARG00000086985
A_15_P147016	ENSDARG00000059886
	ENSDARG00000097003
	ENSDARG00000114354
A_15_P146601	ENSDARG00000104054
	ENSDARG00000102854
	ENSDARG00000061848
A_15_P102855	ENSDARG00000058008
A_15_P106638	ENSDARG00000027689
	ENSDARG00000077740
	ENSDARG00000087483
	ENSDARG00000074488
	ENSDARG00000112131
A_15_P156316	ENSDARG00000104793
A_15_P187216	ENSDARG00000003989
A_15_P508307	ENSDARG00000003989
	ENSDARG00000007025
A_15_P182571	ENSDARG00000077531
	ENSDARG00000077531
A_15_P152271	ENSDARG00000077531
A_15_P100521	ENSDARG00000100636
A_15_P290321	ENSDARG00000100636
	ENSDARG00000100636
	ENSDARG00000101748
	ENSDARG00000079071
A_15_P130616	ENSDARG00000079071
	ENSDARG00000094529
	ENSDARG00000051737
A_15_P103064	ENSDARG00000079827
	ENSDARG00000045692
A_15_P159216	ENSDARG00000045692
	ENSDARG00000112172
A_15_P116666	ENSDARG00000105230
	ENSDARG00000104831
A_15_P168751	ENSDARG00000020354
A_15_P276121	ENSDARG00000020354
	ENSDARG00000113431
	ENSDARG00000037708
A_15_P145891	ENSDARG00000062271
	ENSDARG00000097273
A_15_P120835	ENSDARG00000028346
	ENSDARG00000115127
	ENSDARG00000087251
A_15_P119528	ENSDARG00000095540
	ENSDARG00000076230
A_15_P120831	ENSDARG00000057738
A_15_P160691	ENSDARG00000057738
	ENSDARG00000093386
	ENSDARG00000076148
	ENSDARG00000042644
	ENSDARG00000005500
A_15_P157741	ENSDARG00000027587
	ENSDARG00000097274
A_15_P116315	ENSDARG00000014309
	ENSDARG00000029848
A_15_P178741	ENSDARG00000078138
	ENSDARG00000078138
	ENSDARG00000013079
A_15_P139046	ENSDARG00000061138
A_15_P139051	ENSDARG00000061138
	ENSDARG00000095925
	ENSDARG00000027777
	ENSDARG00000012073
A_15_P156206	ENSDARG00000012073
A_15_P178361	ENSDARG00000012073
A_15_P558507	ENSDARG00000095820
A_15_P117389	ENSDARG00000058117
A_15_P131781	ENSDARG00000058117
A_15_P202596	ENSDARG00000058117
A_15_P106955	ENSDARG00000104613
A_15_P137356	ENSDARG00000104613
A_15_P175931	ENSDARG00000056885
A_15_P236266	ENSDARG00000056885
A_15_P103408	ENSDARG00000055373
A_15_P180026	ENSDARG00000055373
A_15_P105446	ENSDARG00000020239
A_15_P106261	ENSDARG00000020239
	ENSDARG00000020239
	ENSDARG00000090481
A_15_P179876	ENSDARG00000091126
	ENSDARG00000075975
	ENSDARG00000100127
	ENSDARG00000071116
	ENSDARG00000037068
	ENSDARG00000100658
A_15_P192481	ENSDARG00000061763
A_15_P282631	ENSDARG00000061763
A_15_P177826	ENSDARG00000022698
A_15_P183196	ENSDARG00000022698
A_15_P276046	ENSDARG00000022698
	ENSDARG00000021107
	ENSDARG00000105643
A_15_P183966	ENSDARG00000093240
	ENSDARG00000109626
	ENSDARG00000005179
A_15_P203271	ENSDARG00000005179
A_15_P100309	ENSDARG00000070704
A_15_P182311	ENSDARG00000070704
A_15_P260761	ENSDARG00000070704
A_15_P168736	ENSDARG00000045011
A_15_P108692	ENSDARG00000005141
A_15_P142271	ENSDARG00000005141
A_15_P109538	ENSDARG00000059327
	ENSDARG00000059327
	ENSDARG00000093902
	ENSDARG00000096538
A_15_P111596	ENSDARG00000041170
A_15_P108127	ENSDARG00000027009
A_15_P111667	ENSDARG00000027009
A_15_P114803	ENSDARG00000056023
A_15_P131586	ENSDARG00000056023
A_15_P187336	ENSDARG00000056023
A_15_P174621	ENSDARG00000079586
A_15_P190661	ENSDARG00000079586
	ENSDARG00000079586
	ENSDARG00000093993
A_15_P302331	ENSDARG00000087530
A_15_P438200	ENSDARG00000087530
A_15_P105282	ENSDARG00000012777
A_15_P183396	ENSDARG00000012777
	ENSDARG00000092448
A_15_P478300	ENSDARG00000092448
A_15_P108981	ENSDARG00000092448
A_15_P257996	ENSDARG00000062077
	ENSDARG00000062077
A_15_P101064	ENSDARG00000029894
A_15_P197366	ENSDARG00000029894
A_15_P199746	ENSDARG00000030896
A_15_P190081	ENSDARG00000013841
	ENSDARG00000037706
A_15_P209706	ENSDARG00000037706
	ENSDARG00000060753
	ENSDARG00000076614
A_15_P108142	ENSDARG00000069360
A_15_P116287	ENSDARG00000069360
	ENSDARG00000102746
	ENSDARG00000093384
	ENSDARG00000111465
A_15_P140241	ENSDARG00000005716
A_15_P119476	ENSDARG00000033768
A_15_P400050	ENSDARG00000071554
	ENSDARG00000093288
A_15_P117036	ENSDARG00000020708
A_15_P153441	ENSDARG00000020708
A_15_P256701	ENSDARG00000097573
	ENSDARG00000093444
	ENSDARG00000104728
A_15_P197691	ENSDARG00000018382
A_15_P190811	ENSDARG00000019063
	ENSDARG00000097550
	ENSDARG00000091728
	ENSDARG00000017569
	ENSDARG00000097500
	ENSDARG00000070314
A_15_P158916	ENSDARG00000070314
	ENSDARG00000030297
A_15_P105573	ENSDARG00000037498
A_15_P112210	ENSDARG00000037498
	ENSDARG00000077866
A_15_P116084	ENSDARG00000060469
A_15_P204716	ENSDARG00000060469
A_15_P149726	ENSDARG00000013279
A_15_P170586	ENSDARG00000077840
A_15_P191931	ENSDARG00000077840
	ENSDARG00000077840
A_15_P548492	ENSDARG00000074670
	ENSDARG00000074670
A_15_P100839	ENSDARG00000040282
A_15_P366335	ENSDARG00000008014
A_15_P112464	ENSDARG00000008014
A_15_P115542	ENSDARG00000019566
A_15_P119602	ENSDARG00000000489
A_15_P120021	ENSDARG00000000489
A_15_P105222	ENSDARG00000020158
	ENSDARG00000055332
A_15_P116889	ENSDARG00000001634
A_15_P130636	ENSDARG00000001634
A_15_P144231	ENSDARG00000001634
	ENSDARG00000056764
A_15_P167796	ENSDARG00000056764
A_15_P167801	ENSDARG00000056764
A_15_P167806	ENSDARG00000056764
A_15_P167811	ENSDARG00000056764
A_15_P167816	ENSDARG00000056764
A_15_P167821	ENSDARG00000056764
	ENSDARG00000018814
A_15_P182761	ENSDARG00000028845
	ENSDARG00000028845
	ENSDARG00000059255
	ENSDARG00000111848
A_15_P116626	ENSDARG00000070206
	ENSDARG00000105413
	ENSDARG00000095763
A_15_P163476	ENSDARG00000079397
A_15_P557887	ENSDARG00000076055
	ENSDARG00000093750
A_15_P114985	ENSDARG00000091481
A_15_P203796	ENSDARG00000070688
	ENSDARG00000070688
A_15_P181066	ENSDARG00000004988
A_15_P383430	ENSDARG00000097537
	ENSDARG00000097537
A_15_P169996	ENSDARG00000063223
A_15_P180326	ENSDARG00000021838
	ENSDARG00000098574
A_15_P109167	ENSDARG00000098574
A_15_P104491	ENSDARG00000059398
A_15_P172916	ENSDARG00000059398
